days_ahead,rmse_quarterly,rmse_daily,rmse_base,rmse_interpolated
372,NA,0.42089876363654083,0.42089876363654083,0.42089876363654083
373,NA,NA,NA,0.4182769108137254
374,NA,NA,NA,0.41565505799091007
375,NA,0.41303320516809466,0.41303320516809466,0.41303320516809466
376,NA,0.4333919374291263,0.4333919374291263,0.4333919374291263
377,NA,0.43522540579124414,0.43522540579124414,0.43522540579124414
378,NA,0.3713993807210783,0.3713993807210783,0.3713993807210783
379,NA,0.4491751699875374,0.4491751699875374,0.4491751699875374
380,NA,NA,NA,0.450342756431274
381,NA,NA,NA,0.45151034287501063
382,NA,0.45267792931874723,0.45267792931874723,0.45267792931874723
383,NA,0.4206588239343693,0.4206588239343693,0.4206588239343693
384,NA,0.41003556756294446,0.41003556756294446,0.41003556756294446
385,NA,0.45749772312730347,0.45749772312730347,0.45749772312730347
386,NA,0.4706046642352803,0.4706046642352803,0.4706046642352803
387,NA,NA,NA,0.4675831308567807
388,NA,NA,NA,0.4645615974782812
389,NA,0.4615400640997816,0.4615400640997816,0.4615400640997816
390,NA,0.47183595313060467,0.47183595313060467,0.47183595313060467
391,NA,0.4648566087157057,0.4648566087157057,0.4648566087157057
392,NA,0.4651405908225699,0.4651405908225699,0.4651405908225699
393,NA,0.454813994101731,0.454813994101731,0.454813994101731
