days_ahead,rmse_quarterly,rmse_linear,rmse_loess,rmse_daily,adjustment_ratio,rmse_daily_adjusted,rmse_combined
1731,NA,1.2135777685791875,1.2138389240834313,NA,2.467758273507705,NA,1.2135777685791875
1732,NA,1.2138078061995545,1.214066266564077,NA,2.4690790872433457,NA,1.2138078061995545
1733,NA,1.2140378438199213,1.2142936180640274,NA,2.4703999009789865,NA,1.2140378438199213
1734,1.2142678814402883,1.2142678814402883,1.2145209813225362,NA,2.4717207147146274,NA,1.2142678814402883
1735,NA,1.2145012268649282,1.2147483590788575,NA,2.4730415284502683,NA,1.2145012268649282
1736,NA,1.2147345722895682,1.2149757540722446,NA,2.474362342185909,NA,1.2147345722895682
1737,NA,1.214967917714208,1.2152031690419507,NA,2.47568315592155,NA,1.214967917714208
1738,NA,1.215201263138848,1.2154306067272298,NA,2.477003969657191,NA,1.215201263138848
1739,NA,1.2154346085634882,1.2156580698673354,NA,2.4783247833928317,NA,1.2154346085634882
1740,NA,1.215667953988128,1.215885561201521,NA,2.4796455971284725,NA,1.215667953988128
1741,NA,1.215901299412768,1.2161130834690403,NA,2.4809664108641134,NA,1.215901299412768
1742,NA,1.216134644837408,1.216340639409147,NA,2.4822872245997543,NA,1.216134644837408
1743,NA,1.216367990262048,1.2165682317610942,NA,2.483608038335395,NA,1.216367990262048
1744,NA,1.2166013356866878,1.2167958632641358,NA,2.484928852071036,NA,1.2166013356866878
1745,NA,1.2168346811113278,1.2170235366575255,NA,2.486249665806677,NA,1.2168346811113278
1746,NA,1.2170680265359677,1.2172512546805165,NA,2.4875704795423177,NA,1.2170680265359677
1747,NA,1.2173013719606076,1.217479020072363,NA,2.4888912932779585,NA,1.2173013719606076
1748,NA,1.2175347173852478,1.2177068355723177,NA,2.4902121070135994,NA,1.2175347173852478
1749,NA,1.2177680628098877,1.2179347039196349,NA,2.4915329207492403,NA,1.2177680628098877
1750,NA,1.2180014082345276,1.218162627853568,NA,2.492853734484881,NA,1.2180014082345276
1751,NA,1.2182347536591676,1.2183906101133704,NA,2.494174548220522,NA,1.2182347536591676
1752,NA,1.2184680990838075,1.2186186534382961,NA,2.495495361956163,NA,1.2184680990838075
1753,NA,1.2187014445084474,1.218846760567598,NA,2.4968161756918037,NA,1.2187014445084474
1754,NA,1.2189347899330873,1.21907493424053,NA,2.4981369894274446,NA,1.2189347899330873
1755,NA,1.2191681353577273,1.2193031771963458,NA,2.4994578031630854,NA,1.2191681353577273
1756,NA,1.2194014807823672,1.219531492174299,NA,2.5007786168987263,NA,1.2194014807823672
1757,NA,1.2196348262070074,1.219759881913643,NA,2.502099430634367,NA,1.2196348262070074
1758,NA,1.2198681716316473,1.2199883491536316,NA,2.503420244370008,NA,1.2198681716316473
1759,NA,1.2201015170562872,1.220216896633518,NA,2.5047410581056493,NA,1.2201015170562872
1760,NA,1.2203348624809272,1.2204455270925563,NA,2.50606187184129,NA,1.2203348624809272
1761,NA,1.220568207905567,1.2206742432699997,NA,2.507382685576931,NA,1.220568207905567
1762,NA,1.220801553330207,1.2209030479051017,NA,2.508703499312572,NA,1.220801553330207
1763,NA,1.221034898754847,1.2211319437371162,NA,2.5100243130482127,NA,1.221034898754847
1764,NA,1.2212682441794869,1.2213609335052968,NA,2.5113451267838536,NA,1.2212682441794869
1765,NA,1.2215015896041268,1.221590019948897,NA,2.5126659405194944,NA,1.2215015896041268
1766,NA,1.221734935028767,1.2218192058071697,NA,2.5139867542551353,NA,1.221734935028767
1767,NA,1.2219682804534069,1.2220484938193694,NA,2.515307567990776,NA,1.2219682804534069
1768,NA,1.2222016258780468,1.2222778867247495,NA,2.516628381726417,NA,1.2222016258780468
1769,NA,1.2224349713026867,1.2225073872625631,NA,2.517949195462058,NA,1.2224349713026867
1770,NA,1.2226683167273267,1.2227369981720644,NA,2.5192700091976987,NA,1.2226683167273267
1771,NA,1.2229016621519666,1.2229667221925065,NA,2.5205908229333396,NA,1.2229016621519666
1772,NA,1.2231350075766065,1.2231965620631433,NA,2.5219116366689804,NA,1.2231350075766065
1773,NA,1.2233683530012465,1.223426520523228,NA,2.5232324504046213,NA,1.2233683530012465
1774,NA,1.2236016984258864,1.2236566003120146,NA,2.524553264140262,NA,1.2236016984258864
1775,NA,1.2238350438505265,1.2238868041687567,NA,2.525874077875903,NA,1.2238350438505265
1776,NA,1.2240683892751665,1.2241171348327073,NA,2.527194891611544,NA,1.2240683892751665
1777,NA,1.2243017346998064,1.2243475950431204,NA,2.5285157053471847,NA,1.2243017346998064
1778,NA,1.2245350801244463,1.2245781875392499,NA,2.5298365190828256,NA,1.2245350801244463
1779,NA,1.2247684255490863,1.2248089150603487,NA,2.5311573328184664,NA,1.2247684255490863
1780,NA,1.2250017709737262,1.2250397803456707,NA,2.5324781465541073,NA,1.2250017709737262
1781,NA,1.2252351163983661,1.2252707861344694,NA,2.533798960289748,NA,1.2252351163983661
1782,NA,1.225468461823006,1.2255019351659984,NA,2.535119774025389,NA,1.225468461823006
1783,NA,1.225701807247646,1.2257332301795112,NA,2.53644058776103,NA,1.225701807247646
1784,NA,1.225935152672286,1.2259646739142618,NA,2.5377614014966707,NA,1.225935152672286
1785,NA,1.226168498096926,1.2261962691095034,NA,2.5390822152323116,NA,1.226168498096926
1786,NA,1.226401843521566,1.2264280185044898,NA,2.5404030289679524,NA,1.226401843521566
1787,NA,1.226635188946206,1.2266599248384742,NA,2.5417238427035933,NA,1.226635188946206
1788,NA,1.2268685343708459,1.2268919908507105,NA,2.543044656439234,NA,1.2268685343708459
1789,NA,1.2271018797954858,1.2271242192804521,NA,2.544365470174875,NA,1.2271018797954858
1790,NA,1.2273352252201257,1.2273566128669529,NA,2.545686283910516,NA,1.2273352252201257
1791,NA,1.2275685706447657,1.227589174349466,NA,2.5470070976461567,NA,1.2275685706447657
1792,NA,1.2278019160694056,1.2278219064672455,NA,2.5483279113817976,NA,1.2278019160694056
1793,NA,1.2280352614940455,1.2280548119595442,NA,2.5496487251174385,NA,1.2280352614940455
1794,NA,1.2282686069186857,1.2282878935656167,NA,2.5509695388530793,NA,1.2282686069186857
1795,NA,1.2285019523433256,1.228521154024716,NA,2.55229035258872,NA,1.2285019523433256
1796,NA,1.2287352977679655,1.2287545960760955,NA,2.553611166324361,NA,1.2287352977679655
